id,rating,genre,runtime,fresh,top_critic,date
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-21
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-21
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-20
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-17
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-16
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-15
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-15
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,1,2012-08-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-14
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-13
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-13
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-13
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-12
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-10
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-08-07
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-06
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-06
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-06
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-05
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-04
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-02
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-08-01
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-08-01
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-07-30
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-07-29
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-07-06
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-28
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-27
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-25
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-20
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-18
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-18
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-18
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-17
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,1,2012-06-15
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-15
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-15
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-15
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-14
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-13
3,R,Drama|Science Fiction and Fantasy,108.0,rotten,0,2012-06-13
3,R,Drama|Science Fiction and Fantasy,108.0,fresh,0,2012-06-11
