id,rating,genre,runtime
183,NR,Classics|Drama|Musical and Performing Arts,98.0
184,NR,Action and Adventure|Drama|Mystery and Suspense,81.0
186,PG,Action and Adventure|Comedy|Drama|Musical and Performing Arts|Romance,91.0
187,G,Action and Adventure|Kids and Family|Science Fiction and Fantasy,101.0
188,R,Comedy|Drama,86.0
189,NR,Drama|Horror|Mystery and Suspense|Television,94.0
191,NR,Drama,188.0
192,R,Art House and International|Comedy|Drama|Romance,95.0
193,R,Art House and International|Drama,104.0
194,NR,Classics|Comedy|Drama|Kids and Family,117.0
195,PG-13,Action and Adventure|Drama|Mystery and Suspense,113.0
196,PG-13,Comedy,98.0
197,R,Action and Adventure|Art House and International|Drama,104.0
199,NR,Drama,93.0
200,G,Classics|Comedy|Drama|Musical and Performing Arts,126.0
201,R,Drama|Mystery and Suspense,110.0
204,PG-13,Action and Adventure|Art House and International|Comedy,90.0
205,NR,Art House and International|Classics|Horror|Science Fiction and Fantasy,63.0
206,R,Horror|Science Fiction and Fantasy,91.0
210,PG-13,Drama|Romance,132.0
211,R,Drama|Musical and Performing Arts,137.0
212,PG-13,Comedy,79.0
213,NR,Classics|Drama|Musical and Performing Arts,98.0
214,NR,Drama|Mystery and Suspense,65.0
216,NR,Classics|Comedy,65.0
218,PG-13,Drama|Horror|Mystery and Suspense|Romance,115.0
219,PG,Action and Adventure|Art House and International|Classics|Drama,156.0
221,PG,Classics|Drama,147.0
222,G,Action and Adventure|Classics|Comedy|Musical and Performing Arts|Romance,124.0
223,NR,Documentary|Musical and Performing Arts,54.0
224,G,Classics|Drama,113.0
225,NR,Drama|Television,93.0
226,R,Action and Adventure|Horror,89.0
227,PG,Comedy|Drama|Musical and Performing Arts,111.0
229,NR,Comedy,85.0
232,PG,Action and Adventure|Drama|Science Fiction and Fantasy,117.0
233,PG-13,Comedy|Horror,96.0
234,PG-13,Action and Adventure|Drama,15.0
235,R,Action and Adventure|Classics|Drama,171.0
236,NR,Classics|Western,59.0
237,NR,Action and Adventure|Drama|Science Fiction and Fantasy|Television,85.0
238,R,Art House and International|Comedy|Drama|Musical and Performing Arts,120.0
239,PG,Comedy|Horror,80.0
240,NR,Classics|Comedy|Musical and Performing Arts|Romance,80.0
242,R,Drama|Mystery and Suspense,100.0
246,PG-13,Action and Adventure|Art House and International|Comedy,93.0
247,NR,Art House and International|Drama|Romance,93.0
248,R,Drama|Mystery and Suspense,94.0
249,R,Action and Adventure|Drama,97.0
250,R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,118.0
251,R,Drama|Romance,118.0
252,R,Horror|Mystery and Suspense,90.0
254,PG,Classics|Drama|Mystery and Suspense|Science Fiction and Fantasy,97.0
255,R,Horror,93.0
256,R,Horror|Mystery and Suspense,90.0
258,NR,Art House and International|Drama,90.0
259,NR,Drama|Horror|Mystery and Suspense,93.0
261,NR,Classics|Comedy|Drama|Musical and Performing Arts,98.0
263,R,Horror,88.0
264,R,Drama|Mystery and Suspense,99.0
265,NR,Special Interest|Sports and Fitness,90.0
267,R,Comedy,101.0
269,R,Horror|Mystery and Suspense|Science Fiction and Fantasy,110.0
270,R,Comedy|Horror|Musical and Performing Arts,91.0
271,R,Drama,110.0
272,PG,Drama,107.0
273,PG,Action and Adventure|Drama|Kids and Family,94.0
274,R,Action and Adventure|Drama|Western,97.0
275,NR,Action and Adventure|Art House and International|Comedy,101.0
276,R,Comedy,99.0
277,NR,Classics|Drama,128.0
278,R,Comedy,96.0
279,R,Drama|Science Fiction and Fantasy|Romance,98.0
280,NR,Art House and International,89.0
281,R,Comedy|Western,116.0
282,NR,Horror,98.0
283,NR,Mystery and Suspense,81.0
284,PG,Action and Adventure|Comedy|Mystery and Suspense,94.0
285,R,Comedy,94.0
286,PG-13,Action and Adventure|Documentary|Science Fiction and Fantasy|Special Interest|Western,93.0
287,NR,Classics|Drama,85.0
288,NR,Art House and International|Mystery and Suspense,130.0
289,NR,UNKOWN,95.0
290,R,Action and Adventure|Drama,132.0
292,R,Action and Adventure|Art House and International|Drama|Faith and Spirituality,101.0
293,NR,Classics|Horror,87.0
295,PG-13,Drama,100.0
296,PG,Action and Adventure|Classics|Comedy|Drama,143.0
298,NR,Drama|Mystery and Suspense,104.0
299,PG-13,Action and Adventure|Drama,95.0
300,PG-13,Drama,133.0
301,PG-13,Drama|Mystery and Suspense,95.0
302,R,Action and Adventure|Drama|Mystery and Suspense,129.0
303,NR,Action and Adventure|Drama|Horror|Mystery and Suspense,100.0
304,R,Comedy|Drama,107.0
305,R,Drama|Science Fiction and Fantasy,114.0
306,NR,Classics|Horror|Mystery and Suspense|Science Fiction and Fantasy,90.0
308,NR,Horror,75.0
309,NR,Classics|Documentary|Drama|Romance,52.0
310,PG,Action and Adventure|Western,111.0
311,PG-13,Art House and International|Drama,120.0
312,R,Art House and International|Drama,132.0
313,R,Drama,105.0
314,PG,Comedy|Kids and Family,111.0
317,NR,Art House and International|Comedy|Drama|Mystery and Suspense,129.0
320,R,Horror,88.0
321,R,Comedy,111.0
322,R,Horror,119.0
323,G,Action and Adventure|Western,111.0
326,PG-13,Comedy|Drama,129.0
327,NR,UNKOWN,13.0
328,NR,Action and Adventure|Classics|Drama|Mystery and Suspense,83.0
329,PG-13,Musical and Performing Arts|Special Interest,105.0
331,PG-13,Documentary|Musical and Performing Arts,93.0
332,G,Action and Adventure|Art House and International,155.0
333,R,Drama,103.0
334,R,Comedy|Drama,124.0
335,NR,Drama|Mystery and Suspense,101.0
336,NR,Drama,89.0
337,R,Art House and International|Drama|Special Interest,142.0
338,PG-13,Drama|Mystery and Suspense,126.0
345,PG-13,Comedy|Drama,111.0
346,PG-13,Drama|Romance,103.0
348,NR,Classics|Comedy,95.0
349,G,Kids and Family|Science Fiction and Fantasy,83.0
350,NR,Classics|Horror|Science Fiction and Fantasy,80.0
352,PG,Drama|Romance,87.0
353,NR,Art House and International|Comedy|Drama,90.0
354,NR,Classics|Comedy|Musical and Performing Arts,95.0
355,R,Comedy,87.0
356,R,Drama,114.0
357,PG,Action and Adventure|Animation|Comedy|Kids and Family,91.0
359,PG,Action and Adventure|Drama,99.0
361,NR,Drama|Special Interest,7.0
363,NR,Horror,90.0
364,PG-13,Comedy|Horror,94.0
365,R,Classics|Drama,105.0
366,PG,Drama,98.0
367,PG-13,Drama,100.0
368,G,Art House and International|Drama,134.0
369,R,Action and Adventure|Mystery and Suspense,97.0
370,PG-13,Drama|Romance,106.0
372,NR,Comedy,93.0
373,R,Action and Adventure|Comedy|Drama|Mystery and Suspense,87.0
374,NR,Comedy|Musical and Performing Arts,117.0
375,R,Comedy|Kids and Family|Television,86.0
376,PG-13,Comedy|Drama,95.0
377,R,Comedy|Drama|Musical and Performing Arts,121.0
379,R,Action and Adventure|Art House and International,108.0
380,NR,Art House and International|Drama,83.0
384,NR,Classics|Comedy|Romance,114.0
385,NR,Action and Adventure|Drama|Mystery and Suspense,93.0
386,PG,Action and Adventure|Classics|Horror,95.0
387,NR,Action and Adventure|Classics|Western|Romance,109.0
388,G,Classics|Drama,94.0
390,PG-13,Action and Adventure|Science Fiction and Fantasy,94.0
391,PG,Comedy|Drama,102.0
392,R,Drama,125.0
393,PG,Classics|Drama,146.0
394,PG-13,Drama,109.0
396,R,Art House and International|Comedy|Drama,113.0
397,PG,Classics|Drama,122.0
398,R,Comedy|Drama|Mystery and Suspense,103.0
400,PG-13,Action and Adventure,109.0
401,R,Drama,196.0
402,NR,Comedy|Drama,127.0
403,NR,Comedy|Science Fiction and Fantasy,75.0
404,PG,Horror,103.0
406,PG,Action and Adventure|Art House and International|Drama|Kids and Family|Science Fiction and Fantasy,95.0
408,PG,Action and Adventure|Drama|Mystery and Suspense,99.0
409,R,Comedy,98.0
410,R,Drama|Musical and Performing Arts,108.0
411,NR,Classics|Drama|Mystery and Suspense,78.0
412,R,Comedy|Science Fiction and Fantasy,95.0
413,NR,Action and Adventure|Art House and International|Science Fiction and Fantasy,100.0
414,PG-13,Art House and International|Comedy,87.0
415,PG,Art House and International|Drama,98.0
417,R,Art House and International|Drama,120.0
418,PG-13,Action and Adventure|Drama|Mystery and Suspense,90.0
419,PG-13,Mystery and Suspense|Science Fiction and Fantasy,105.0
420,NR,Classics|Drama|Musical and Performing Arts|Mystery and Suspense,95.0
421,NR,Art House and International|Comedy|Drama,158.0
422,R,Comedy,95.0
423,NR,Documentary|Musical and Performing Arts,108.0
425,PG-13,Comedy,92.0
426,NR,Action and Adventure|Classics|Drama|Western,60.0
427,PG,Art House and International|Drama,96.0
428,PG-13,Action and Adventure|Drama,105.0
430,PG,Drama|Science Fiction and Fantasy,88.0
432,PG-13,Comedy,70.0
433,PG-13,Action and Adventure|Mystery and Suspense,117.0
435,NR,Art House and International|Comedy,91.0
436,NR,Mystery and Suspense,90.0
437,PG,Action and Adventure|Art House and International,105.0
438,R,Action and Adventure,100.0
439,NR,Art House and International|Comedy|Drama,108.0
440,R,Classics|Drama,120.0
442,R,Action and Adventure|Horror|Science Fiction and Fantasy,100.0
